Date debut;Date fin;Titre compétition;Ville;Code structure;Club organisateur;Code region;Departement;Discipline;Type;Saison;Mail;Site web;Lieu;Adresse;CP;Ville compétition;Long;Lat;Mandat;Etat;EprvId
01/08/2026;02/08/2026;3D MONDION;MONDION;0437070;LES ARCHERS DU CARDINAL - RICHELAIS JS;CR04;370;Tir 3D;individuel;2026;noemie.gerrand@gmail.com;http://www.lesarchersducardinal.com;Parcours 3D;Chemin La PAcauderie;86230;MONDION;0.45726;46.93492;https://extranet.ffta.fr/medias/documents_epreuves/10fde2c42c6f75.pdf;Validée;75261
01/08/2026;02/08/2026;CHAMPIONNAT DE FRANCE DOUBLE MIXTE ADULTE;SAINT AVERTIN;0437083;ST AVERTIN CASAS;CR04;370;Tir à l'Arc Extérieur;uniquement équipe;2026;president@tiralarc.saint-avertin-sports.fr;http://arcavertin.fr;;;;;;;https://extranet.ffta.fr/medias/documents_epreuves/10fa09e2c2a1a6.pdf;Validée;74770
01/08/2026;02/08/2026;CHAMPIONNAT DE FRANCE ELITE;SAINT AVERTIN;0437083;ST AVERTIN CASAS;CR04;370;Tir à l'Arc Extérieur;individuel;2026;president@tiralarc.saint-avertin-sports.fr;http://arcavertin.fr;;;;;;;https://extranet.ffta.fr/medias/documents_epreuves/10fa09d5e1de70.pdf;Validée;74769
01/08/2026;02/08/2026;3D VILLAGE;ST SAUVANT;1017022;ARC NATURE SAINT SAUVANT;CR10;170;Tir 3D;individuel;2026;gilsavie@orange.fr;;pidou;"Route de l&apos;orgere";17610;ST SAUVANT;;;https://extranet.ffta.fr/medias/documents_epreuves/1100a8f3924bf8.pdf;Validée;75108
03/10/2026;04/10/2026;"COUPE D&apos;EUROPE DES CLUBS";RUSE - BULGARIE;0;Fédération Française de Tir à l'Arc;;;Tir à l'Arc Extérieur;individuel;2026;ffta@ffta.fr;https://www.ffta.fr;;;;;;;;Validée;74815
03/10/2026;03/10/2026;TIR CAMPAGNE LIFFRE;LIFFRE;0335073;LES ARCHERS DE LIFFRE;CR03;350;Tir en Campagne;individuel;2027;accueil@lesarchersdeliffre.onmicrosoft.com;http://lesarchersdeliffre.jimdo.com/;ESPACE SPORTIF LA CROISETTE;Impasse LA CROISETTE;35340;LIFFRE;-1.5202;48.217;;Validée;77275
03/10/2026;03/10/2026;MINI FOUGERES 2026;FOUGERES;0335060;COMPAGNIE D'ARC DE COIGNY;CR03;350;Tir à 18m;individuel;2027;ciecoigny@gmail.com;https://archerscoigny.sportsregions.fr/;ATELIERS DES FRERES DEVERIA;9 Rue DES FRERES DEVERIA;35300;FOUGERES;-1.19048;48.34829;;Validée;77852
03/10/2026;04/10/2026;TIR À 18 M;ARZAL;0356120;ARCHERS D'VILAINE;CR03;560;Tir à 18m;individuel;2027;roynicolas@live.fr;http://archers-dvilaine-arzal.clubeo.com;gymnase michel lechesne;Voie complexe sportif michel lechesne;56190;ARZAL;;;;Validée;78322
03/10/2026;04/10/2026;TIR À 18M EN EXTÉRIEUR;PLEUMELEUC;0335088;ARCHERS DE BROCELIANDE;CR03;350;Tir à 18m;individuel;2027;arcelia@archers-broceliande.com;http://www.archers-broceliande.com;"Arc&apos;Élia";38 Rue rue Bédée;35137;PLEUMELEUC;-1.92976;48.18217;;Validée;78910
03/10/2026;04/10/2026;TIR EN SALLE 18M HIRSON;HIRSON;0702085;LES ARCHERS DES 3 RIVIERES - HIRSON;CR07;020;Tir à 18m;individuel;2027;bizeau.stephane1@gmail.com;;Salle Lichel Carpentier;Rue du Petit Taillis;02500;HIRSON;4.09342;49.92203;;Validée;77299
